,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
0,New York City,New York,8398748.0,8175133.0,2.74,301.5,780.9,28317.0,10933.0,40°39′49″N 73°56′19″W,https://en.wikipedia.org/wiki/New_York_City,Bill de Blasio,NYC.gov
1,Los Angeles,California,3990456.0,3792621.0,5.22,468.7,1213.9,8484.0,3276.0,34°01′10″N 118°24′39″W,https://en.wikipedia.org/wiki/Los_Angeles,Eric Garcetti,
2,Chicago,Illinois,2705994.0,2695598.0,0.39,227.3,588.7,11900.0,4600.0,41°50′15″N 87°40′54″W,https://en.wikipedia.org/wiki/Chicago,Lori Lightfoot,
3,Houston,Texas,2325502.0,2100263.0,10.72,637.5,1651.1,3613.0,1395.0,29°47′12″N 95°23′27″W,https://en.wikipedia.org/wiki/Houston,Sylvester Turner,houstontx.gov
4,Phoenix,Arizona,1660272.0,1445632.0,14.85,517.6,1340.6,3120.0,1200.0,33°34′20″N 112°05′24″W,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",Kate Gallego,
5,Philadelphia,Pennsylvania,1584138.0,1526006.0,3.81,134.2,347.6,11683.0,4511.0,40°00′34″N 75°08′00″W,https://en.wikipedia.org/wiki/Philadelphia,Jim Kenney,www.phila.gov
6,San Antonio,Texas,1532233.0,1327407.0,15.43,461.0,1194.0,3238.0,1250.0,29°28′21″N 98°31′30″W,https://en.wikipedia.org/wiki/San_Antonio,Ron Nirenberg,www.SanAntonio.gov
7,San Diego,California,1425976.0,1307402.0,9.07,325.2,842.3,4325.0,1670.0,32°48′55″N 117°08′06″W,https://en.wikipedia.org/wiki/San_Diego,Kevin Faulconer,SanDiego.gov
8,Dallas,Texas,1345047.0,1197816.0,12.29,340.9,882.9,3866.0,1493.0,32°47′36″N 96°45′59″W,https://en.wikipedia.org/wiki/Dallas,Mike Rawlings,dallascityhall.com
9,San Jose,California,1030119.0,945942.0,8.9,177.5,459.7,5777.0,2231.0,37°17′48″N 121°49′08″W,"https://en.wikipedia.org/wiki/San_Jose,_California",Sam Liccardo,
10,Austin,Texas,964254.0,790390.0,22.0,312.7,809.9,3031.0,1170.0,30°18′14″N 97°45′16″W,"https://en.wikipedia.org/wiki/Austin,_Texas",Steve Adler,
11,Jacksonville,Florida,903889.0,821784.0,9.99,747.4,1935.8,1178.0,455.0,30°20′13″N 81°39′42″W,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",Lenny Curry,
12,Fort Worth,Texas,895008.0,741206.0,20.75,342.9,888.1,2491.0,962.0,32°46′53″N 97°20′48″W,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",Betsy Price,fortworthtexas.gov
13,Columbus,Ohio,892533.0,787033.0,13.4,218.5,565.9,3936.0,1520.0,39°59′07″N 82°59′05″W,"https://en.wikipedia.org/wiki/Columbus,_Ohio",Andrew J. Ginther,
14,San Francisco,California,883305.0,805235.0,9.7,46.9,121.5,18569.0,7170.0,37°43′38″N 123°01′56″W,https://en.wikipedia.org/wiki/San_Francisco,London Breed,
15,Charlotte,North Carolina,872498.0,731424.0,19.29,305.4,791.0,2757.0,1064.0,35°12′28″N 80°49′52″W,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Vi Lyles,
16,Indianapolis,Indiana,867125.0,820445.0,5.69,361.5,936.3,2366.0,914.0,39°46′36″N 86°08′45″W,https://en.wikipedia.org/wiki/Indianapolis,Joe Hogsett,
17,Seattle,Washington,744955.0,608660.0,22.39,83.8,217.0,8405.0,3245.0,47°37′14″N 122°21′03″W,https://en.wikipedia.org/wiki/Seattle,Jenny Durkan,Seattle.gov
18,Denver,Colorado,716492.0,600158.0,19.38,153.3,397.0,4521.0,1746.0,39°45′43″N 104°52′52″W,https://en.wikipedia.org/wiki/Denver,Michael Hancock,denvergov.org
19,"Washington, D.C.",District of Columbia,702455.0,601723.0,16.74,61.1,158.2,11148.0,4304.0,38°54′15″N 77°01′02″W,"https://en.wikipedia.org/wiki/Washington,_D.C.",Muriel Bowser,dc.gov
20,Boston,Massachusetts,694583.0,617594.0,12.47,48.3,125.1,13938.0,5381.0,42°19′55″N 71°01′13″W,https://en.wikipedia.org/wiki/Boston,Marty Walsh,Boston.gov
21,El Paso,Texas,682669.0,649121.0,5.17,256.8,665.1,2660.0,1030.0,31°50′54″N 106°25′37″W,"https://en.wikipedia.org/wiki/El_Paso,_Texas",City Council,
22,Detroit,Michigan,672662.0,713777.0,5.76,138.8,359.5,4847.0,1871.0,42°22′59″N 83°06′08″W,https://en.wikipedia.org/wiki/Detroit,Mike Duggan,
23,Nashville,Tennessee,669053.0,601222.0,11.28,475.9,1232.6,1388.0,536.0,36°10′18″N 86°47′06″W,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",,
24,Portland,Oregon,653115.0,583776.0,11.88,133.5,345.8,4793.0,1851.0,45°32′13″N 122°39′00″W,"https://en.wikipedia.org/wiki/Portland,_Oregon",,PortlandOregon.gov
25,Memphis,Tennessee,650618.0,646889.0,0.58,317.4,822.1,2056.0,794.0,35°06′10″N 89°58′39″W,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",Jim Strickland,
26,Oklahoma City,Oklahoma,649021.0,579999.0,11.9,606.3,1570.3,1053.0,407.0,35°28′02″N 97°30′49″W,https://en.wikipedia.org/wiki/Oklahoma_City,David Holt,
27,Las Vegas,Nevada,644644.0,583756.0,10.43,134.4,348.1,4709.0,1818.0,36°13′45″N 115°15′36″W,https://en.wikipedia.org/wiki/Las_Vegas,Carolyn Goodman,
28,Louisville,Kentucky,620118.0,597337.0,3.81,263.5,682.5,2339.0,903.0,38°09′55″N 85°38′51″W,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",Greg Fischer,LouisvilleKy.gov
29,Baltimore,Maryland,602495.0,620961.0,2.97,80.9,209.5,7598.0,2934.0,39°18′00″N 76°36′38″W,https://en.wikipedia.org/wiki/Baltimore,Jack Young,
30,Milwaukee,Wisconsin,592025.0,594833.0,0.47,96.2,249.2,6186.0,2388.0,43°03′48″N 87°58′00″W,https://en.wikipedia.org/wiki/Milwaukee,Tom Barrett,
31,Albuquerque,New Mexico,560218.0,545852.0,2.63,188.2,487.4,2972.0,1147.0,35°06′20″N 106°38′51″W,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",Tim Keller,
32,Tucson,Arizona,545975.0,520116.0,4.97,230.8,597.8,2299.0,888.0,32°09′11″N 110°52′14″W,"https://en.wikipedia.org/wiki/Tucson,_Arizona",,
33,Fresno,California,530093.0,494665.0,7.16,114.4,296.3,4563.0,1762.0,36°47′01″N 119°47′36″W,"https://en.wikipedia.org/wiki/Fresno,_California",Lee Brand,
34,Mesa,Arizona,508958.0,439041.0,15.92,137.9,357.2,3514.0,1357.0,33°24′07″N 111°43′03″W,"https://en.wikipedia.org/wiki/Mesa,_Arizona",John Giles,
35,Sacramento,California,508529.0,466488.0,9.01,97.9,253.6,5059.0,1953.0,38°34′00″N 121°28′07″W,"https://en.wikipedia.org/wiki/Sacramento,_California",Darrell Steinberg,
36,Atlanta,Georgia,498044.0,420003.0,18.58,133.5,345.8,3539.0,1366.0,33°45′46″N 84°25′22″W,https://en.wikipedia.org/wiki/Atlanta,Keisha Lance Bottoms,
37,Kansas City,Missouri,491918.0,459787.0,6.99,315.0,815.8,1528.0,590.0,39°07′30″N 94°33′04″W,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",Sly James,KCMO.gov
38,Colorado Springs,Colorado,472688.0,416427.0,13.51,195.6,506.6,2378.0,918.0,38°52′02″N 104°45′39″W,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",,
39,Miami,Florida,470914.0,399457.0,17.89,36.0,93.2,12599.0,4865.0,25°46′31″N 80°12′31″W,https://en.wikipedia.org/wiki/Miami,Francis X. Suarez,
40,Raleigh,North Carolina,469298.0,403892.0,16.19,145.1,375.8,3163.0,1221.0,35°49′50″N 78°38′30″W,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",Nancy McFarlane,
41,Omaha,Nebraska,468262.0,408958.0,14.5,133.2,345.0,3356.0,1296.0,41°15′52″N 96°02′42″W,"https://en.wikipedia.org/wiki/Omaha,_Nebraska",Jean Stothert,
42,Long Beach,California,467354.0,462257.0,1.1,50.3,130.3,9347.0,3609.0,33°48′33″N 118°09′19″W,"https://en.wikipedia.org/wiki/Long_Beach,_California",Robert Garcia,
43,Virginia Beach,Virginia,450189.0,437994.0,2.78,244.7,633.8,1850.0,710.0,36°46′48″N 76°01′31″W,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",Bobby Dyer,www.vbgov.com
44,Oakland,California,429082.0,390724.0,9.82,55.9,144.8,7514.0,2901.0,37°46′11″N 122°13′33″W,"https://en.wikipedia.org/wiki/Oakland,_California",Libby Schaaf,
45,Minneapolis,Minnesota,425403.0,382578.0,11.19,54.0,139.9,7660.0,2960.0,44°57′48″N 93°16′06″W,https://en.wikipedia.org/wiki/Minneapolis,Jacob Frey,
46,Tulsa,Oklahoma,400669.0,391906.0,2.24,196.8,509.7,2048.0,791.0,36°07′40″N 95°54′08″W,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",,cityoftulsa.org
47,Arlington,Texas,398112.0,365438.0,8.94,95.8,248.1,4100.0,1600.0,32°42′03″N 97°07′29″W,"https://en.wikipedia.org/wiki/Arlington,_Texas",Jeff Williams,
48,Tampa,Florida,392890.0,335709.0,17.03,113.4,293.7,3326.0,1284.0,27°58′12″N 82°28′47″W,"https://en.wikipedia.org/wiki/Tampa,_Florida",Jane Castor,
49,New Orleans,Louisiana,391006.0,343829.0,13.72,169.4,438.7,2311.0,892.0,30°03′12″N 89°56′04″W,https://en.wikipedia.org/wiki/New_Orleans,LaToya Cantrell,nola.gov
50,Wichita,Kansas,389255.0,382368.0,1.8,160.4,415.4,2431.0,939.0,37°41′27″N 97°20′45″W,"https://en.wikipedia.org/wiki/Wichita,_Kansas",Jeff Longwell,wichita.gov
51,Cleveland,Ohio,383793.0,396815.0,3.28,77.7,201.2,4965.0,1917.0,41°28′43″N 81°40′46″W,https://en.wikipedia.org/wiki/Cleveland,Frank G. Jackson,
52,Bakersfield,California,383579.0,347483.0,10.39,148.8,385.4,2529.0,976.0,35°19′16″N 119°01′06″W,"https://en.wikipedia.org/wiki/Bakersfield,_California",Karen K. Goh,
53,Aurora,Colorado,374114.0,325078.0,15.08,153.5,397.6,2356.0,910.0,39°41′17″N 104°41′23″W,"https://en.wikipedia.org/wiki/Aurora,_Colorado",Bob LeGare,
